id_estudiante,nombre,curso,fecha,asistio,justificacion,promedio_notas,telefono_contacto,correo,tutor
1,"Carlos Pérez","10A","2024-04-01",Sí,"",4.3,"3100000001","carlos@example.com","Ana Pérez"
2,"Laura Torres","10A","2024-04-01",No,"Enfermedad",4.7,"3100000002","laura@example.com","Luis Torres"
3,"Andrés Rojas","9B","2024-04-01",Sí,"",3.8,"3100000003","andres@example.com","Marta Rojas"
4,"Lucía Fernández","11A","2024-04-01",No,"Cita médica",4.9,"3100000004","lucia@example.com","Ricardo Fernández"
5,"Mateo Ramírez","10B","2024-04-01",Sí,"",2.9,"3100000005","mateo@example.com","Sandra Ramírez"
6,"Valentina Gómez","11B","2024-04-01",Sí,"",3.5,"3100000006","valentina@example.com","César Gómez"
7,"Sebastián López","9A","2024-04-01",No,"Familiar fallecido",4.1,"3100000007","sebastian@example.com","Laura López"
8,"Mariana Díaz","10A","2024-04-01",Sí,"",4.6,"3100000008","mariana@example.com","Carlos Díaz"
9,"Sofía Martínez","10A","2024-04-01",Sí,"",3.4,"3100000009","sofia@example.com","Juana Martínez"
10,"Tomás Herrera","11A","2024-04-01",No,"Enfermedad",3.1,"3100000010","tomas@example.com","Claudia Herrera"
11,"Isabella Castro","9B","2024-04-01",Sí,"",3.0,"3100000011","isabella@example.com","Nicolás Castro"
12,"Santiago Morales","10A","2024-04-01",Sí,"",4.2,"3100000012","santiago@example.com","Daniela Morales"
13,"Daniela Ruiz","10A","2024-04-01",No,"Cita médica",4.8,"3100000013","daniela@example.com","Pedro Ruiz"
14,"Gabriel Silva","11B","2024-04-01",Sí,"",2.7,"3100000014","gabriel@example.com","Elena Silva"
15,"Camila Torres","10B","2024-04-01",Sí,"",4.0,"3100000015","camila@example.com","Roberto Torres"
16,"Juan Pablo Reyes","9A","2024-04-01",No,"Sin justificación",3.6,"3100000016","juan@example.com","Diana Reyes"
17,"Manuela Vargas","11A","2024-04-01",Sí,"",4.5,"3100000017","manuela@example.com","Raúl Vargas"
18,"Emilio Peña","9B","2024-04-01",No,"Enfermedad",3.2,"3100000018","emilio@example.com","Adriana Peña"
19,"Sara Méndez","10A","2024-04-01",Sí,"",4.4,"3100000019","sara@example.com","Iván Méndez"
20,"Felipe Navarro","10A","2024-04-01",Sí,"",3.3,"3100000020","felipe@example.com","Marcela Navarro"
