id_estudiante,nombre,curso,fecha,asistio,justificacion,promedio_notas,telefono_contacto,correo,tutor
1,Carlos Pérez,10A,2024-04-01,Sí,,4.3,3100000001,carlos@example.com,Ana Pérez
2,Laura Torres,10A,2024-04-01,No,Enfermedad,4.7,3100000002,laura@example.com,Luis Torres
3,Andrés Rojas,9B,2024-04-01,Sí,,3.8,3100000003,andres@example.com,Marta Rojas
4,Lucía Fernández,11A,2024-04-01,No,Cita médica,4.9,3100000004,lucia@example.com,Ricardo Fernández
5,Mateo Ramírez,10B,2024-04-01,Sí,,2.9,3100000005,mateo@example.com,Sandra Ramírez
6,Valentina Gómez,11B,2024-04-01,Sí,,3.5,3100000006,valentina@example.com,César Gómez
7,Sebastián López,9A,2024-04-01,No,Familiar fallecido,4.1,3100000007,sebastian@example.com,Laura López
8,Mariana Díaz,10A,2024-04-01,Sí,,4.6,3100000008,mariana@example.com,Carlos Díaz
9,Sofía Martínez,10A,2024-04-01,Sí,,3.4,3100000009,sofia@example.com,Juana Martínez
10,Tomás Herrera,11A,2024-04-01,No,Enfermedad,3.1,3100000010,tomas@example.com,Claudia Herrera
11,Isabella Castro,9B,2024-04-01,Sí,,3.0,3100000011,isabella@example.com,Nicolás Castro
12,Santiago Morales,10A,2024-04-01,Sí,,4.2,3100000012,santiago@example.com,Daniela Morales
13,Daniela Ruiz,10A,2024-04-01,No,Cita médica,4.8,3100000013,daniela@example.com,Pedro Ruiz
14,Gabriel Silva,11B,2024-04-01,Sí,,2.7,3100000014,gabriel@example.com,Elena Silva
15,Camila Torres,10B,2024-04-01,Sí,,4.0,3100000015,camila@example.com,Roberto Torres
16,Juan Pablo Reyes,9A,2024-04-01,No,Sin justificación,3.6,3100000016,juan@example.com,Diana Reyes
17,Manuela Vargas,11A,2024-04-01,Sí,,4.5,3100000017,manuela@example.com,Raúl Vargas
18,Emilio Peña,9B,2024-04-01,No,Enfermedad,3.2,3100000018,emilio@example.com,Adriana Peña
19,Sara Méndez,10A,2024-04-01,Sí,,4.4,3100000019,sara@example.com,Iván Méndez
20,Felipe Navarro,10A,2024-04-01,Sí,,3.3,3100000020,felipe@example.com,Marcela Navarro
21,Juan Carlos Roldan,11B,2025-05-03,Sí,,2.6,3146913810,juan@example.com,Carlos Díaz
22,Custodia Heredia,9B,2025-04-17,Sí,,4.3,3183197857,custodia@example.com,Marta Rojas
23,Wálter Zabaleta,11A,2025-05-08,No,Enfermedad,2.6,3139345092,wálter@example.com,Carlos Díaz
24,Paloma Jove,11A,2025-04-27,Sí,,3.9,3197226012,paloma@example.com,Adriana Peña
25,Ester Cortina,10B,2025-04-29,Sí,,3.6,3147338124,ester@example.com,Ana Pérez
26,Alejandro Bustamante,9B,2025-04-18,No,Familiar fallecido,3.2,3138898923,alejandro@example.com,Nicolás Castro
27,Manu Maza,9A,2025-04-20,Sí,,3.4,3158181396,manu@example.com,Daniela Morales
28,Nazario Jerez,11A,2025-05-07,No,Enfermedad,4.3,3181971316,nazario@example.com,Ricardo Fernández
29,Yago Castelló,10B,2025-04-19,Sí,,3.9,3194374605,yago@example.com,Marcela Navarro
30,Teófila Merino,10A,2025-05-01,Sí,,4.3,3116150444,teófila@example.com,Carlos Díaz
31,Imelda Patiño,10A,2025-04-26,Sí,,4.6,3123556182,imelda@example.com,Pedro Ruiz
32,María Manuela Jódar,10A,2025-04-23,No,Familiar fallecido,2.9,3157683626,maría@example.com,Laura López
33,Carmen Amor,11B,2025-05-03,No,Enfermedad,4.0,3132969840,carmen@example.com,Adriana Peña
34,Sabina Llanos,11B,2025-05-07,Sí,,2.9,3160929647,sabina@example.com,Juana Martínez
35,Sofía Gargallo,11B,2025-04-16,Sí,,4.2,3117507864,sofía@example.com,Carlos Díaz
36,Otilia Barco,9A,2025-04-14,No,Sin justificación,3.2,3138317637,otilia@example.com,Iván Méndez
37,Yaiza Rius,11B,2025-04-15,No,Cita médica,4.1,3163100814,yaiza@example.com,Roberto Torres
38,Plinio Roma,9B,2025-04-29,No,Cita médica,3.1,3185345555,plinio@example.com,Adriana Peña
39,Azahara Salgado,10A,2025-04-28,No,,3.5,3139436733,azahara@example.com,Sandra Ramírez
40,Domingo Barón,11A,2025-04-22,No,Enfermedad,4.4,3124716857,domingo@example.com,Sandra Ramírez
41,Úrsula Acuña,11B,2025-05-13,Sí,,4.5,3166661351,úrsula@example.com,Marcela Navarro
42,Azucena Díaz,9A,2025-04-27,No,Sin justificación,4.0,3172820592,azucena@example.com,Raúl Vargas
43,José María Bernat,10A,2025-04-21,Sí,,4.2,3125374874,josé@example.com,Adriana Peña
44,Gregorio Tamayo,10A,2025-05-04,No,Enfermedad,3.2,3131227574,gregorio@example.com,Roberto Torres
45,Américo Millán,9A,2025-04-14,No,,4.4,3178139880,américo@example.com,Ricardo Fernández
46,María José Priego,11B,2025-04-27,No,,4.0,3130513739,maría@example.com,Daniela Morales
47,Lázaro Portero,9B,2025-04-22,Sí,,4.0,3175579548,lázaro@example.com,Ana Pérez
48,Eloísa Álamo,9A,2025-05-11,No,Familiar fallecido,3.1,3142329237,eloísa@example.com,Iván Méndez
49,Guiomar Vizcaíno,9A,2025-04-14,Sí,,4.3,3119289546,guiomar@example.com,Adriana Peña
50,Lola Casado,9B,2025-04-26,Sí,,4.1,3183793389,lola@example.com,César Gómez
51,Juan Riba,10A,2025-05-10,No,Cita médica,4.8,3136998038,juan@example.com,Claudia Herrera
52,Ildefonso Nogués,10B,2025-04-29,No,Sin justificación,4.7,3170597444,ildefonso@example.com,Ricardo Fernández
53,Primitivo González,9B,2025-04-18,Sí,,2.7,3112823170,primitivo@example.com,Iván Méndez
54,Enrique Luque,11A,2025-04-25,Sí,,4.0,3110965138,enrique@example.com,Marta Rojas
55,Ester Valentín,11B,2025-04-19,Sí,,3.1,3114216175,ester@example.com,Nicolás Castro
56,Filomena Muro,9A,2025-04-28,Sí,,3.2,3175151231,filomena@example.com,Laura López
57,Pili Gisbert,11A,2025-05-04,Sí,,4.3,3186644106,pili@example.com,Iván Méndez
58,Narcisa Feijoo,10B,2025-04-19,Sí,,4.5,3164634663,narcisa@example.com,Laura López
59,Héctor Lago,9A,2025-04-25,Sí,,4.1,3157553014,héctor@example.com,Elena Silva
60,Clímaco Luís,10B,2025-04-18,No,Enfermedad,4.2,3196728778,clímaco@example.com,Ricardo Fernández
61,Amarilis Herrero,9A,2025-04-18,No,Familiar fallecido,4.5,3124665841,amarilis@example.com,Carlos Díaz
62,Adolfo Tamayo,9B,2025-05-07,Sí,,3.8,3128814949,adolfo@example.com,Elena Silva
63,Camilo Ros,9B,2025-04-20,No,Sin justificación,3.1,3120117988,camilo@example.com,Roberto Torres
64,Anastasia Pera,11A,2025-05-03,Sí,,2.6,3182556484,anastasia@example.com,Ana Pérez
65,Leocadio Lillo,9A,2025-04-29,Sí,,2.9,3175181648,leocadio@example.com,Diana Reyes
66,Nélida Botella,9B,2025-04-17,No,Enfermedad,2.9,3110289289,nélida@example.com,Pedro Ruiz
67,Azahar Quesada,10A,2025-04-16,No,Familiar fallecido,3.6,3184593961,azahar@example.com,Diana Reyes
68,Amílcar Palmer,9B,2025-04-21,Sí,,3.2,3117849494,amílcar@example.com,Iván Méndez
69,Mónica Hervia,11B,2025-05-03,Sí,,4.4,3117672593,mónica@example.com,Luis Torres
70,Mohamed Roda,11A,2025-04-15,No,,4.8,3181286543,mohamed@example.com,César Gómez
71,Eugenia Quiroga,9A,2025-05-11,Sí,,4.6,3119196777,eugenia@example.com,Marcela Navarro
72,Graciana Pintor,9A,2025-04-19,Sí,,3.5,3186460539,graciana@example.com,Carlos Díaz
73,Primitiva Quintana,11A,2025-05-06,Sí,,4.0,3166267415,primitiva@example.com,Iván Méndez
74,Ciriaco Gracia,11A,2025-04-19,No,Familiar fallecido,3.0,3152169044,ciriaco@example.com,Carlos Díaz
75,Severino Folch,10A,2025-04-21,No,Cita médica,4.2,3150264926,severino@example.com,Roberto Torres
76,Calisto Quintanilla,10A,2025-04-28,Sí,,2.5,3193370583,calisto@example.com,Iván Méndez
77,Úrsula Gargallo,9A,2025-04-24,Sí,,3.8,3177898694,úrsula@example.com,Juana Martínez
